epi,men,women,difference,name
583510,8.86,8.81,0.05,
583657,8.19,8.14,0.05,
583525,8.27,8.22,0.05,
583530,8.11,8.06,0.05,
583485,8.54,8.49,0.05,
583451,8.45,8.4,0.05,
583490,7.95,7.9,0.05,
583625,8.38,8.33,0.05,
583611,8.08,8.03,0.05,
583575,8.48,8.43,0.05,
583549,8.09,8.04,0.05,
583565,8.16,8.1,0.06,
583437,8.85,8.79,0.06,
583511,9.01,8.95,0.06,
583555,8.22,8.16,0.06,
583526,8.32,8.26,0.06,
583594,8.05,7.99,0.06,
583433,9.38,9.32,0.06,
583455,8.45,8.38,0.07,
583645,8.15,8.08,0.07,
583444,8.64,8.56,0.08,
583512,8.42,8.34,0.08,
583622,8.68,8.6,0.08,
583558,8.45,8.37,0.08,
583491,8.59,8.51,0.08,
583550,8.72,8.64,0.08,
583487,8.5,8.41,0.09,
583495,8.3,8.21,0.09,
583496,8.83,8.74,0.09,
583571,8.46,8.37,0.09,
831047,8.67,8.57,0.1,
583501,8.94,8.83,0.11,
583563,9.04,8.93,0.11,
583551,8.44,8.33,0.11,
583627,8.27,8.15,0.12,
583659,8.48,8.36,0.12,
583608,8.59,8.46,0.13,
583480,8.31,8.18,0.13,
583472,8.86,8.72,0.14,
583650,8.75,8.59,0.16,
583466,8.92,8.73,0.19,
583658,9.17,8.98,0.19,
583656,8.92,8.71,0.21,
583502,8.56,8.35,0.21,
583632,8.89,8.68,0.21,
583623,8.88,8.67,0.21,
583556,8.68,8.45,0.23,"""The One with Rossand Monica's Cousin"""
